2014-06-15 |2:48:49| ('10.0.0.2', 49306) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |2:49:19| ('10.0.0.2', 49307) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |2:50:23| ('10.0.0.2', 49308) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:2:29| ('10.0.0.2', 49309) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:2:57| ('10.0.0.2', 49310) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:4:57| ('10.0.0.2', 49311) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:6:21| ('10.0.0.2', 49312) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:7:3| ('10.0.0.2', 49313) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:8:14| ('10.0.0.2', 49314) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:9:42| ('10.0.0.2', 49315) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:11:20| ('10.0.0.2', 49316) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:11:46| ('10.0.0.2', 49317) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:26:58| ('10.0.0.2', 49321) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:26:58| ('10.0.0.2', 49321) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:27:5| ('10.0.0.2', 49321) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:27:8| ('10.0.0.2', 49321) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:27:13| ('10.0.0.2', 49321) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:27:16| ('10.0.0.2', 49321) | Action = login. (rt) | Resultat = error login
2014-06-15 |3:27:19| ('10.0.0.2', 49321) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:27:27| ('10.0.0.2', 49321) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:28:4| ('10.0.0.2', 49322) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:28:4| ('10.0.0.2', 49322) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:28:9| ('10.0.0.2', 49322) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:28:40| ('10.0.0.2', 49322) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:29:37| ('10.0.0.2', 49323) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:30:47| ('10.0.0.2', 49324) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:31:36| ('10.0.0.2', 49325) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:33:28| ('10.0.0.2', 49326) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:34:12| ('10.0.0.2', 49327) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:35:21| ('10.0.0.2', 49328) | Action = Black_list_test. '10.0.0.2' | Resultat = unauthorized
2014-06-15 |3:36:15| ('10.0.0.2', 49329) | Action = Black_list_test. '10.0.0.2' | Resultat = authorized
2014-06-15 |3:36:15| ('10.0.0.2', 49329) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:36:39| ('10.0.0.2', 49329) | Action = login. (ty) | Resultat = nomatch
2014-06-15 |3:36:43| ('10.0.0.2', 49329) | Action = login. (ty) | Resultat = nomatch
